5 200 3.575785e-02 2.367217e+00 1.000000e-11 4.223827e-14 -7.713826e-03 3.190372e-01 -1.051726e-28 0.000000e+00 
6 200 3.584653e-02 2.403019e+00 1.000000e-11 4.160899e-14 -7.389037e-03 3.105981e-01 6.922334e-30 0.000000e+00 
7 200 3.593750e-02 2.438911e+00 1.000000e-11 4.099669e-14 -7.081494e-03 3.025093e-01 1.448605e-28 0.000000e+00 
8 200 3.603078e-02 2.474896e+00 1.000000e-11 4.040063e-14 -6.790063e-03 2.947508e-01 -2.883357e-29 0.000000e+00 
9 200 3.612636e-02 2.510974e+00 1.000000e-11 3.982017e-14 -6.513696e-03 2.873037e-01 -6.014310e-29 0.000000e+00 
10 200 3.622426e-02 2.547149e+00 1.225463e-11 4.810513e-14 -6.251431e-03 2.801507e-01 7.970827e-29 0.000000e+00 
11 200 3.632447e-02 2.583424e+00 1.805177e-11 6.986666e-14 -6.002374e-03 2.732756e-01 -3.245557e-29 0.000000e+00 
12 200 3.642701e-02 2.619800e+00 2.616596e-11 9.986530e-14 -5.765702e-03 2.666634e-01 -9.604111e-29 0.000000e+00 
13 200 3.653189e-02 2.656279e+00 3.735196e-11 1.406002e-13 -5.540650e-03 2.602999e-01 7.435178e-28 0.000000e+00 
2 200 3.663910e-02 2.692864e+00 5.255206e-11 1.951290e-13 -5.326512e-03 2.541722e-01 -1.346057e-28 0.000000e+00 
3 200 3.674866e-02 2.729558e+00 7.292625e-11 2.671396e-13 -5.122630e-03 2.482680e-01 -1.132679e-27 0.000000e+00 
4 200 3.686057e-02 2.766363e+00 9.988355e-11 3.610204e-13 -4.928395e-03 2.425759e-01 4.256745e-28 0.000000e+00 
5 200 3.697484e-02 2.803281e+00 1.351139e-10 4.819262e-13 -4.743242e-03 2.370852e-01 -8.751200e-28 0.000000e+00 
6 200 3.709148e-02 2.840314e+00 1.806195e-10 6.358369e-13 -4.566644e-03 2.317859e-01 -1.201747e-27 0.000000e+00 
7 200 3.721049e-02 2.877465e+00 2.387456e-10 8.296077e-13 -4.398110e-03 2.266687e-01 1.279662e-27 0.000000e+00 
8 200 3.733189e-02 2.914736e+00 3.122080e-10 1.071007e-12 -4.237183e-03 2.217247e-01 2.448690e-27 0.000000e+00 
9 200 3.745567e-02 2.952130e+00 4.041192e-10 1.368743e-12 -4.083438e-03 2.169456e-01 -2.681343e-28 0.000000e+00 
10 200 3.758185e-02 2.989649e+00 5.180097e-10 1.732470e-12 -3.936477e-03 2.123239e-01 -1.492462e-27 0.000000e+00 
11 200 3.771044e-02 3.027295e+00 6.578445e-10 2.172785e-12 -3.795929e-03 2.078520e-01 -5.203557e-28 0.000000e+00 
12 200 3.784145e-02 3.065071e+00 8.280351e-10 2.701199e-12 -3.661446e-03 2.035233e-01 -1.571592e-27 0.000000e+00 
13 200 3.797488e-02 3.102979e+00 1.033445e-09 3.330097e-12 -3.532706e-03 1.993312e-01 5.203800e-27 0.000000e+00 
2 200 3.811073e-02 3.141022e+00 1.279387e-09 4.072675e-12 -3.409402e-03 1.952696e-01 -1.665613e-26 0.000000e+00 
3 200 3.824903e-02 3.179202e+00 1.571620e-09 4.942858e-12 -3.291252e-03 1.913327e-01 -2.140757e-26 0.000000e+00 
4 200 3.838978e-02 3.217521e+00 1.916326e-09 5.955206e-12 -3.177988e-03 1.875153e-01 -1.659278e-26 0.000000e+00 
