          11   1.00000000               0   2.04779148       1.67376029       4.75678205       3.07936621       1.62333939E-02   4.09916276E-03  0.334274828              31
          21  0.666666687               0   2.04179192       1.65936804       4.71121693       3.06231904       1.68664884E-02   4.09916369E-03  0.335621953              31
          31  0.428571433               0   2.01712513       1.62459219       4.53246212       2.89808059       1.79590341E-02   4.09916323E-03  0.330376446              31
          41  0.250000000               0   1.95863700       1.56798911       4.22826385       2.74243474       1.87876858E-02   4.09916276E-03  0.327477217              29
          51  0.100000001               0   1.79862654       1.42767000       3.41121101       2.35334229       2.70940550E-02   4.09916276E-03  0.306503832              24
